GID1	GID2	EH23_Early_Flower	EH23_Foliage	EH23_Foliage_12light	EH23_Late_Flower	EH23_Roots	EH23_Shoottips
EH23a.chr5.v1.g060620.t1	EH23b.chr5.v1.g063480.t1	C	C	C	C	C	C
EH23a.chr5.v1.g060630.t1	EH23b.chr5.v1.g063470.t1	A	A	C	C	C	A
EH23a.chr5.v1.g060660.t1	EH23b.chr5.v1.g063440.t1	C	C	C	C	C	C
EH23a.chr5.v1.g060770.t1	EH23b.chr5.v1.g063430.t1	C	C	C	C	C	C
EH23a.chr5.v1.g060780.t1	EH23b.chr5.v1.g063420.t1	C	C	C	C	C	C
EH23a.chr5.v1.g060790.t1	EH23b.chr5.v1.g063410.t1	C	C	C	C	C	C
EH23a.chr5.v1.g060800.t1	EH23b.chr5.v1.g063370.t1	C	C	C	C	C	C
EH23a.chr5.v1.g060830.t1	EH23b.chr5.v1.g063350.t1	C	C	C	C	C	C
EH23a.chr5.v1.g060840.t1	EH23b.chr5.v1.g063330.t1	C	C	C	A	A	C
EH23a.chr5.v1.g060910.t1	EH23b.chr5.v1.g063240.t2	C	C	C	C	C	C
EH23a.chr5.v1.g060920.t1	EH23b.chr5.v1.g063230.t1	C	C	C	C	C	C
EH23a.chr5.v1.g060950.t1	EH23b.chr5.v1.g063220.t1	C	C	C	C	C	C
EH23a.chr5.v1.g060960.t1	EH23b.chr5.v1.g063210.t1	C	C	C	C	C	C
EH23a.chr5.v1.g060970.t1	EH23b.chr5.v1.g063200.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061040.t1	EH23b.chr5.v1.g063120.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061050.t1	EH23b.chr5.v1.g063130.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061130.t1	EH23b.chr5.v1.g063080.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061150.t1	EH23b.chr5.v1.g063060.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061160.t1	EH23b.chr5.v1.g063050.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061190.t1	EH23b.chr5.v1.g063030.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061290.t1	EH23b.chr5.v1.g062980.t1	C	C	C	A	C	C
EH23a.chr5.v1.g061310.t1	EH23b.chr5.v1.g062930.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061320.t1	EH23b.chr5.v1.g062920.t1	A	A	C	A	A	A
EH23a.chr5.v1.g061330.t1	EH23b.chr5.v1.g062910.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061340.t1	EH23b.chr5.v1.g062900.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061350.t1	EH23b.chr5.v1.g062890.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061390.t1	EH23b.chr5.v1.g062850.t1	A	A	A	A	C	A
EH23a.chr5.v1.g061400.t1	EH23b.chr5.v1.g062840.t1	A	A	A	A	A	A
EH23a.chr5.v1.g061410.t1	EH23b.chr5.v1.g062830.t1	A	A	A	C	C	A
EH23a.chr5.v1.g061420.t1	EH23b.chr5.v1.g062820.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061440.t3	EH23b.chr5.v1.g062800.t3	C	C	C	C	C	C
EH23a.chr5.v1.g061470.t1	EH23b.chr5.v1.g062760.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061480.t1	EH23b.chr5.v1.g062730.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061490.t1	EH23b.chr5.v1.g062720.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061500.t1	EH23b.chr5.v1.g062710.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061510.t1	EH23b.chr5.v1.g062700.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061540.t1	EH23b.chr5.v1.g062680.t1	C	C	A	C	C	C
EH23a.chr5.v1.g061560.t1	EH23b.chr5.v1.g062670.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061570.t1	EH23b.chr5.v1.g062660.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061580.t1	EH23b.chr5.v1.g062650.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061590.t1	EH23b.chr5.v1.g062640.t1	A	C	C	C	C	C
EH23a.chr5.v1.g061600.t1	EH23b.chr5.v1.g062630.t1	A	A	C	A	A	A
EH23a.chr5.v1.g061620.t1	EH23b.chr5.v1.g062620.t2	C	C	C	C	C	C
EH23a.chr5.v1.g061640.t1	EH23b.chr5.v1.g062600.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061650.t1	EH23b.chr5.v1.g062590.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061660.t1	EH23b.chr5.v1.g062580.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061670.t1	EH23b.chr5.v1.g062570.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061680.t1	EH23b.chr5.v1.g062560.t1	A	C	C	C	C	A
EH23a.chr5.v1.g061700.t1	EH23b.chr5.v1.g062540.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061710.t1	EH23b.chr5.v1.g062530.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061720.t2	EH23b.chr5.v1.g062520.t2	C	C	C	C	C	C
EH23a.chr5.v1.g061750.t1	EH23b.chr5.v1.g062450.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061780.t1	EH23b.chr5.v1.g062390.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061850.t1	EH23b.chr5.v1.g062290.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061860.t1	EH23b.chr5.v1.g062280.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061880.t1	EH23b.chr5.v1.g062260.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061890.t1	EH23b.chr5.v1.g062250.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061900.t1	EH23b.chr5.v1.g062230.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061910.t1	EH23b.chr5.v1.g062210.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061940.t1	EH23b.chr5.v1.g062190.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061950.t1	EH23b.chr5.v1.g062170.t1	C	C	C	C	C	C
EH23a.chr5.v1.g061990.t1	EH23b.chr5.v1.g062110.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062010.t1	EH23b.chr5.v1.g062080.t1	A	C	C	A	C	A
EH23a.chr5.v1.g062040.t1	EH23b.chr5.v1.g062060.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062050.t1	EH23b.chr5.v1.g062050.t1	C	C	C	B	C	C
EH23a.chr5.v1.g062060.t1	EH23b.chr5.v1.g062040.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062070.t1	EH23b.chr5.v1.g062030.t1	A	C	C	C	C	C
EH23a.chr5.v1.g062080.t1	EH23b.chr5.v1.g062010.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062090.t1	EH23b.chr5.v1.g062000.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062100.t1	EH23b.chr5.v1.g061960.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062110.t1	EH23b.chr5.v1.g061950.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062120.t1	EH23b.chr5.v1.g061940.t1	C	C	C	B	A	C
EH23a.chr5.v1.g062160.t1	EH23b.chr5.v1.g061930.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062160.t2	EH23b.chr5.v1.g061930.t2	C	C	C	C	C	C
EH23a.chr5.v1.g062180.t1	EH23b.chr5.v1.g061890.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062180.t2	EH23b.chr5.v1.g061890.t2	C	C	C	C	C	C
EH23a.chr5.v1.g062340.t1	EH23b.chr5.v1.g061840.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062420.t1	EH23b.chr5.v1.g061790.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062430.t1	EH23b.chr5.v1.g061780.t1	A	A	C	A	A	C
EH23a.chr5.v1.g062440.t1	EH23b.chr5.v1.g061770.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062470.t1	EH23b.chr5.v1.g061700.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062510.t1	EH23b.chr5.v1.g061610.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062520.t1	EH23b.chr5.v1.g061600.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062600.t1	EH23b.chr5.v1.g061550.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062630.t1	EH23b.chr5.v1.g061530.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062640.t1	EH23b.chr5.v1.g061520.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062650.t1	EH23b.chr5.v1.g061500.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062690.t2	EH23b.chr5.v1.g061470.t2	C	C	C	C	C	C
EH23a.chr5.v1.g062730.t1	EH23b.chr5.v1.g061450.t1	C	C	C	C	A	C
EH23a.chr5.v1.g062800.t1	EH23b.chr5.v1.g061410.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062810.t1	EH23b.chr5.v1.g061400.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062820.t1	EH23b.chr5.v1.g061340.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062830.t1	EH23b.chr5.v1.g061330.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062840.t1	EH23b.chr5.v1.g061320.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062920.t1	EH23b.chr5.v1.g061150.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062950.t1	EH23b.chr5.v1.g061170.t1	C	C	C	C	C	C
EH23a.chr5.v1.g062960.t1	EH23b.chr5.v1.g061180.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063010.t1	EH23b.chr5.v1.g061080.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063050.t1	EH23b.chr5.v1.g061280.t1	A	A	A	A	C	A
EH23a.chr5.v1.g063070.t1	EH23b.chr5.v1.g061290.t1	C	B	C	C	B	C
EH23a.chr5.v1.g063230.t1	EH23b.chr5.v1.g061000.t1	B	B	C	B	C	B
EH23a.chr5.v1.g063250.t1	EH23b.chr5.v1.g060970.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063280.t1	EH23b.chr5.v1.g060950.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063290.t1	EH23b.chr5.v1.g060930.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063310.t1	EH23b.chr5.v1.g060920.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063350.t1	EH23b.chr5.v1.g060870.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063370.t1	EH23b.chr5.v1.g060860.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063380.t1	EH23b.chr5.v1.g060850.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063390.t1	EH23b.chr5.v1.g060840.t1	C	C	C	C	C	A
EH23a.chr5.v1.g063400.t1	EH23b.chr5.v1.g060830.t1	C	C	B	C	C	B
EH23a.chr5.v1.g063440.t1	EH23b.chr5.v1.g060810.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063450.t1	EH23b.chr5.v1.g060750.t1	C	C	C	A	C	C
EH23a.chr5.v1.g063480.t1	EH23b.chr5.v1.g060720.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063500.t1	EH23b.chr5.v1.g060710.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063520.t1	EH23b.chr5.v1.g060570.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063540.t1	EH23b.chr5.v1.g060560.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063550.t1	EH23b.chr5.v1.g060550.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063560.t1	EH23b.chr5.v1.g060500.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063580.t1	EH23b.chr5.v1.g060480.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063590.t1	EH23b.chr5.v1.g060470.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063640.t1	EH23b.chr5.v1.g060460.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063670.t1	EH23b.chr5.v1.g060330.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063730.t1	EH23b.chr5.v1.g060300.t1	C	A	A	C	C	C
EH23a.chr5.v1.g063740.t1	EH23b.chr5.v1.g060290.t1	A	A	A	A	A	A
EH23a.chr5.v1.g063750.t1	EH23b.chr5.v1.g060280.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063760.t1	EH23b.chr5.v1.g060270.t1	A	A	C	A	A	A
EH23a.chr5.v1.g063770.t1	EH23b.chr5.v1.g060250.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063780.t1	EH23b.chr5.v1.g060260.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063820.t1	EH23b.chr5.v1.g060190.t1	A	C	C	C	C	C
EH23a.chr5.v1.g063890.t1	EH23b.chr5.v1.g060130.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063910.t1	EH23b.chr5.v1.g060110.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063920.t1	EH23b.chr5.v1.g060090.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063930.t1	EH23b.chr5.v1.g060080.t1	A	A	C	C	C	A
EH23a.chr5.v1.g063940.t1	EH23b.chr5.v1.g060070.t1	C	C	C	C	C	C
EH23a.chr5.v1.g063980.t1	EH23b.chr5.v1.g060060.t1	C	C	C	A	C	A
EH23a.chr5.v1.g063990.t1	EH23b.chr5.v1.g060030.t1	A	A	C	A	C	A
EH23a.chr5.v1.g064010.t1	EH23b.chr5.v1.g059950.t1	A	A	A	A	C	A
EH23a.chr5.v1.g064200.t1	EH23b.chr5.v1.g059850.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064220.t1	EH23b.chr5.v1.g059830.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064240.t1	EH23b.chr5.v1.g059820.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064250.t1	EH23b.chr5.v1.g059810.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064280.t1	EH23b.chr5.v1.g059780.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064310.t1	EH23b.chr5.v1.g059760.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064320.t1	EH23b.chr5.v1.g059730.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064390.t1	EH23b.chr5.v1.g059400.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064400.t1	EH23b.chr5.v1.g059410.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064430.t1	EH23b.chr5.v1.g059690.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064440.t1	EH23b.chr5.v1.g059680.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064500.t1	EH23b.chr5.v1.g059340.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064510.t1	EH23b.chr5.v1.g059330.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064600.t1	EH23b.chr5.v1.g059300.t1	A	C	C	A	C	A
EH23a.chr5.v1.g064630.t1	EH23b.chr5.v1.g059160.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064640.t1	EH23b.chr5.v1.g059150.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064680.t1	EH23b.chr5.v1.g059110.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064690.t1	EH23b.chr5.v1.g059100.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064700.t1	EH23b.chr5.v1.g059090.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064740.t1	EH23b.chr5.v1.g059070.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064780.t1	EH23b.chr5.v1.g059020.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064790.t1	EH23b.chr5.v1.g059010.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064810.t1	EH23b.chr5.v1.g058990.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064910.t1	EH23b.chr5.v1.g058850.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064950.t1	EH23b.chr5.v1.g058820.t1	A	A	C	A	A	A
EH23a.chr5.v1.g064960.t1	EH23b.chr5.v1.g058810.t1	C	C	C	C	C	C
EH23a.chr5.v1.g064980.t2	EH23b.chr5.v1.g058790.t2	C	C	C	C	C	C
EH23a.chr5.v1.g065000.t1	EH23b.chr5.v1.g058770.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065040.t1	EH23b.chr5.v1.g058710.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065070.t1	EH23b.chr5.v1.g058690.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065140.t1	EH23b.chr5.v1.g058670.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065170.t2	EH23b.chr5.v1.g058630.t2	C	C	C	C	C	C
EH23a.chr5.v1.g065190.t1	EH23b.chr5.v1.g058570.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065200.t1	EH23b.chr5.v1.g058560.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065210.t1	EH23b.chr5.v1.g058550.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065220.t1	EH23b.chr5.v1.g058540.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065230.t2	EH23b.chr5.v1.g058530.t2	C	C	C	C	C	C
EH23a.chr5.v1.g065260.t1	EH23b.chr5.v1.g058500.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065300.t1	EH23b.chr5.v1.g058410.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065330.t1	EH23b.chr5.v1.g058390.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065370.t1	EH23b.chr5.v1.g058340.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065390.t1	EH23b.chr5.v1.g058310.t1	A	C	A	A	C	A
EH23a.chr5.v1.g065400.t1	EH23b.chr5.v1.g058290.t1	C	C	A	C	C	C
EH23a.chr5.v1.g065420.t1	EH23b.chr5.v1.g058270.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065440.t2	EH23b.chr5.v1.g058250.t2	C	C	C	C	C	C
EH23a.chr5.v1.g065480.t1	EH23b.chr5.v1.g058230.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065500.t1	EH23b.chr5.v1.g058210.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065510.t1	EH23b.chr5.v1.g058200.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065540.t1	EH23b.chr5.v1.g058110.t1	A	A	A	A	A	A
EH23a.chr5.v1.g065580.t1	EH23b.chr5.v1.g058100.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065590.t1	EH23b.chr5.v1.g058090.t1	C	C	C	A	C	C
EH23a.chr5.v1.g065600.t1	EH23b.chr5.v1.g058080.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065730.t1	EH23b.chr5.v1.g057990.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065780.t1	EH23b.chr5.v1.g057960.t1	C	A	C	A	C	A
EH23a.chr5.v1.g065830.t1	EH23b.chr5.v1.g057900.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065840.t1	EH23b.chr5.v1.g057890.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065840.t2	EH23b.chr5.v1.g057890.t2	C	C	C	C	C	C
EH23a.chr5.v1.g065850.t1	EH23b.chr5.v1.g057880.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065850.t2	EH23b.chr5.v1.g057880.t2	C	C	C	C	C	C
EH23a.chr5.v1.g065860.t1	EH23b.chr5.v1.g057870.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065870.t1	EH23b.chr5.v1.g057850.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065890.t1	EH23b.chr5.v1.g057820.t1	C	C	C	C	C	C
EH23a.chr5.v1.g065900.t1	EH23b.chr5.v1.g057810.t1	C	C	C	C	B	C
EH23a.chr5.v1.g065910.t1	EH23b.chr5.v1.g057780.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066010.t1	EH23b.chr5.v1.g057740.t1	C	A	C	C	C	C
EH23a.chr5.v1.g066030.t2	EH23b.chr5.v1.g057720.t2	C	C	C	C	C	C
EH23a.chr5.v1.g066050.t1	EH23b.chr5.v1.g057660.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066070.t1	EH23b.chr5.v1.g057650.t1	A	A	A	A	C	A
EH23a.chr5.v1.g066080.t1	EH23b.chr5.v1.g057640.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066160.t1	EH23b.chr5.v1.g057580.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066210.t1	EH23b.chr5.v1.g057560.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066220.t1	EH23b.chr5.v1.g057550.t1	C	A	C	C	C	A
EH23a.chr5.v1.g066240.t1	EH23b.chr5.v1.g057530.t1	A	C	C	C	A	A
EH23a.chr5.v1.g066260.t1	EH23b.chr5.v1.g057510.t1	C	C	C	A	C	C
EH23a.chr5.v1.g066280.t1	EH23b.chr5.v1.g057450.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066330.t1	EH23b.chr5.v1.g057410.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066350.t1	EH23b.chr5.v1.g057390.t3	C	C	C	C	C	C
EH23a.chr5.v1.g066370.t1	EH23b.chr5.v1.g057380.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066380.t1	EH23b.chr5.v1.g057370.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066390.t1	EH23b.chr5.v1.g057360.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066400.t1	EH23b.chr5.v1.g057350.t1	C	C	C	A	C	C
EH23a.chr5.v1.g066410.t1	EH23b.chr5.v1.g057340.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066420.t1	EH23b.chr5.v1.g057330.t1	C	C	C	C	C	A
EH23a.chr5.v1.g066430.t1	EH23b.chr5.v1.g057320.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066450.t1	EH23b.chr5.v1.g057300.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066470.t1	EH23b.chr5.v1.g057270.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066490.t1	EH23b.chr5.v1.g057250.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066500.t1	EH23b.chr5.v1.g057230.t1	A	A	A	A	A	A
EH23a.chr5.v1.g066520.t1	EH23b.chr5.v1.g057210.t1	C	C	C	C	A	C
EH23a.chr5.v1.g066530.t1	EH23b.chr5.v1.g057200.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066570.t1	EH23b.chr5.v1.g057160.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066580.t1	EH23b.chr5.v1.g057150.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066590.t1	EH23b.chr5.v1.g057140.t1	A	A	A	A	A	A
EH23a.chr5.v1.g066620.t1	EH23b.chr5.v1.g057110.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066660.t2	EH23b.chr5.v1.g057090.t2	C	C	C	C	A	C
EH23a.chr5.v1.g066690.t1	EH23b.chr5.v1.g057040.t1	A	A	A	A	A	A
EH23a.chr5.v1.g066730.t1	EH23b.chr5.v1.g056710.t1	C	C	C	C	C	A
EH23a.chr5.v1.g066740.t1	EH23b.chr5.v1.g056700.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066780.t1	EH23b.chr5.v1.g056620.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066790.t1	EH23b.chr5.v1.g056600.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066800.t1	EH23b.chr5.v1.g056590.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066810.t1	EH23b.chr5.v1.g056570.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066830.t1	EH23b.chr5.v1.g056550.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066930.t1	EH23b.chr5.v1.g056540.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066950.t1	EH23b.chr5.v1.g056520.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066970.t1	EH23b.chr5.v1.g056410.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066980.t1	EH23b.chr5.v1.g056400.t1	C	C	C	C	C	C
EH23a.chr5.v1.g066990.t1	EH23b.chr5.v1.g056390.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067000.t1	EH23b.chr5.v1.g056380.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067070.t1	EH23b.chr5.v1.g056370.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067100.t1	EH23b.chr5.v1.g056340.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067140.t1	EH23b.chr5.v1.g056330.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067190.t1	EH23b.chr5.v1.g056310.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067200.t1	EH23b.chr5.v1.g056300.t1	C	A	C	A	A	A
EH23a.chr5.v1.g067210.t1	EH23b.chr5.v1.g056290.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067220.t1	EH23b.chr5.v1.g056200.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067230.t1	EH23b.chr5.v1.g056190.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067240.t1	EH23b.chr5.v1.g056180.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067260.t1	EH23b.chr5.v1.g056170.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067390.t1	EH23b.chr5.v1.g056140.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067400.t1	EH23b.chr5.v1.g056130.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067410.t1	EH23b.chr5.v1.g056120.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067460.t1	EH23b.chr5.v1.g056110.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067470.t1	EH23b.chr5.v1.g056100.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067490.t1	EH23b.chr5.v1.g056090.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067500.t1	EH23b.chr5.v1.g056080.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067510.t1	EH23b.chr5.v1.g056070.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067580.t1	EH23b.chr5.v1.g056040.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067600.t1	EH23b.chr5.v1.g056020.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067620.t1	EH23b.chr5.v1.g056010.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067630.t1	EH23b.chr5.v1.g056000.t1	A	A	A	A	A	A
EH23a.chr5.v1.g067640.t1	EH23b.chr5.v1.g055990.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067670.t1	EH23b.chr5.v1.g055960.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067740.t1	EH23b.chr5.v1.g055850.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067790.t1	EH23b.chr5.v1.g055730.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067840.t1	EH23b.chr5.v1.g055720.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067860.t1	EH23b.chr5.v1.g055680.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067870.t1	EH23b.chr5.v1.g055670.t1	B	B	B	A	B	B
EH23a.chr5.v1.g067880.t2	EH23b.chr5.v1.g055660.t2	C	C	C	C	C	C
EH23a.chr5.v1.g067900.t1	EH23b.chr5.v1.g055630.t1	C	C	C	C	C	C
EH23a.chr5.v1.g067910.t1	EH23b.chr5.v1.g055620.t1	C	C	C	C	C	C
